Date,Year,Quarter,MonthNumber,MonthName,Week,Day,DayName,IsWeekend,Season,Holiday
2024-05-16,2024,2,5,May,20,16,Thursday,False,Spring,
2024-05-17,2024,2,5,May,20,17,Friday,False,Spring,
2024-05-18,2024,2,5,May,20,18,Saturday,True,Spring,
2024-05-19,2024,2,5,May,20,19,Sunday,True,Spring,
2024-05-20,2024,2,5,May,21,20,Monday,False,Spring,
2024-05-21,2024,2,5,May,21,21,Tuesday,False,Spring,
2024-05-22,2024,2,5,May,21,22,Wednesday,False,Spring,
2024-05-23,2024,2,5,May,21,23,Thursday,False,Spring,
2024-05-24,2024,2,5,May,21,24,Friday,False,Spring,
2024-05-25,2024,2,5,May,21,25,Saturday,True,Spring,
2024-05-26,2024,2,5,May,21,26,Sunday,True,Spring,
2024-05-27,2024,2,5,May,22,27,Monday,False,Spring,
2024-05-28,2024,2,5,May,22,28,Tuesday,False,Spring,
2024-05-29,2024,2,5,May,22,29,Wednesday,False,Spring,
2024-05-30,2024,2,5,May,22,30,Thursday,False,Spring,
2024-05-31,2024,2,5,May,22,31,Friday,False,Spring,
2024-06-01,2024,2,6,June,22,1,Saturday,True,Summer,
2024-06-02,2024,2,6,June,22,2,Sunday,True,Summer,
2024-06-03,2024,2,6,June,23,3,Monday,False,Summer,
2024-06-04,2024,2,6,June,23,4,Tuesday,False,Summer,
2024-06-05,2024,2,6,June,23,5,Wednesday,False,Summer,
2024-06-06,2024,2,6,June,23,6,Thursday,False,Summer,
2024-06-07,2024,2,6,June,23,7,Friday,False,Summer,
2024-06-08,2024,2,6,June,23,8,Saturday,True,Summer,
2024-06-09,2024,2,6,June,23,9,Sunday,True,Summer,
2024-06-10,2024,2,6,June,24,10,Monday,False,Summer,
2024-06-11,2024,2,6,June,24,11,Tuesday,False,Summer,
2024-06-12,2024,2,6,June,24,12,Wednesday,False,Summer,
2024-06-13,2024,2,6,June,24,13,Thursday,False,Summer,
2024-06-14,2024,2,6,June,24,14,Friday,False,Summer,
2024-06-15,2024,2,6,June,24,15,Saturday,True,Summer,
2024-06-16,2024,2,6,June,24,16,Sunday,True,Summer,
2024-06-17,2024,2,6,June,25,17,Monday,False,Summer,
2024-06-18,2024,2,6,June,25,18,Tuesday,False,Summer,
2024-06-19,2024,2,6,June,25,19,Wednesday,False,Summer,
2024-06-20,2024,2,6,June,25,20,Thursday,False,Summer,
2024-06-21,2024,2,6,June,25,21,Friday,False,Summer,
2024-06-22,2024,2,6,June,25,22,Saturday,True,Summer,
2024-06-23,2024,2,6,June,25,23,Sunday,True,Summer,
2024-06-24,2024,2,6,June,26,24,Monday,False,Summer,
2024-06-25,2024,2,6,June,26,25,Tuesday,False,Summer,
2024-06-26,2024,2,6,June,26,26,Wednesday,False,Summer,
2024-06-27,2024,2,6,June,26,27,Thursday,False,Summer,
2024-06-28,2024,2,6,June,26,28,Friday,False,Summer,
2024-06-29,2024,2,6,June,26,29,Saturday,True,Summer,
2024-06-30,2024,2,6,June,26,30,Sunday,True,Summer,
2024-07-01,2024,3,7,July,27,1,Monday,False,Summer,
2024-07-02,2024,3,7,July,27,2,Tuesday,False,Summer,
2024-07-03,2024,3,7,July,27,3,Wednesday,False,Summer,
2024-07-04,2024,3,7,July,27,4,Thursday,False,Summer,Independence Day
2024-07-05,2024,3,7,July,27,5,Friday,False,Summer,
2024-07-06,2024,3,7,July,27,6,Saturday,True,Summer,
2024-07-07,2024,3,7,July,27,7,Sunday,True,Summer,
2024-07-08,2024,3,7,July,28,8,Monday,False,Summer,
2024-07-09,2024,3,7,July,28,9,Tuesday,False,Summer,
2024-07-10,2024,3,7,July,28,10,Wednesday,False,Summer,
2024-07-11,2024,3,7,July,28,11,Thursday,False,Summer,
2024-07-12,2024,3,7,July,28,12,Friday,False,Summer,
2024-07-13,2024,3,7,July,28,13,Saturday,True,Summer,
2024-07-14,2024,3,7,July,28,14,Sunday,True,Summer,
2024-07-15,2024,3,7,July,29,15,Monday,False,Summer,
2024-07-16,2024,3,7,July,29,16,Tuesday,False,Summer,
2024-07-17,2024,3,7,July,29,17,Wednesday,False,Summer,
2024-07-18,2024,3,7,July,29,18,Thursday,False,Summer,
2024-07-19,2024,3,7,July,29,19,Friday,False,Summer,
2024-07-20,2024,3,7,July,29,20,Saturday,True,Summer,
2024-07-21,2024,3,7,July,29,21,Sunday,True,Summer,
2024-07-22,2024,3,7,July,30,22,Monday,False,Summer,
2024-07-23,2024,3,7,July,30,23,Tuesday,False,Summer,
2024-07-24,2024,3,7,July,30,24,Wednesday,False,Summer,
2024-07-25,2024,3,7,July,30,25,Thursday,False,Summer,
2024-07-26,2024,3,7,July,30,26,Friday,False,Summer,
2024-07-27,2024,3,7,July,30,27,Saturday,True,Summer,
2024-07-28,2024,3,7,July,30,28,Sunday,True,Summer,
2024-07-29,2024,3,7,July,31,29,Monday,False,Summer,
2024-07-30,2024,3,7,July,31,30,Tuesday,False,Summer,
2024-07-31,2024,3,7,July,31,31,Wednesday,False,Summer,
2024-08-01,2024,3,8,August,31,1,Thursday,False,Summer,
2024-08-02,2024,3,8,August,31,2,Friday,False,Summer,
2024-08-03,2024,3,8,August,31,3,Saturday,True,Summer,
2024-08-04,2024,3,8,August,31,4,Sunday,True,Summer,
2024-08-05,2024,3,8,August,32,5,Monday,False,Summer,
2024-08-06,2024,3,8,August,32,6,Tuesday,False,Summer,
2024-08-07,2024,3,8,August,32,7,Wednesday,False,Summer,
2024-08-08,2024,3,8,August,32,8,Thursday,False,Summer,
2024-08-09,2024,3,8,August,32,9,Friday,False,Summer,
2024-08-10,2024,3,8,August,32,10,Saturday,True,Summer,
2024-08-11,2024,3,8,August,32,11,Sunday,True,Summer,
2024-08-12,2024,3,8,August,33,12,Monday,False,Summer,
2024-08-13,2024,3,8,August,33,13,Tuesday,False,Summer,
2024-08-14,2024,3,8,August,33,14,Wednesday,False,Summer,
2024-08-15,2024,3,8,August,33,15,Thursday,False,Summer,
2024-08-16,2024,3,8,August,33,16,Friday,False,Summer,
2024-08-17,2024,3,8,August,33,17,Saturday,True,Summer,
2024-08-18,2024,3,8,August,33,18,Sunday,True,Summer,
2024-08-19,2024,3,8,August,34,19,Monday,False,Summer,
2024-08-20,2024,3,8,August,34,20,Tuesday,False,Summer,
2024-08-21,2024,3,8,August,34,21,Wednesday,False,Summer,
2024-08-22,2024,3,8,August,34,22,Thursday,False,Summer,
2024-08-23,2024,3,8,August,34,23,Friday,False,Summer,
2024-08-24,2024,3,8,August,34,24,Saturday,True,Summer,
2024-08-25,2024,3,8,August,34,25,Sunday,True,Summer,
2024-08-26,2024,3,8,August,35,26,Monday,False,Summer,
2024-08-27,2024,3,8,August,35,27,Tuesday,False,Summer,
2024-08-28,2024,3,8,August,35,28,Wednesday,False,Summer,
2024-08-29,2024,3,8,August,35,29,Thursday,False,Summer,
2024-08-30,2024,3,8,August,35,30,Friday,False,Summer,
2024-08-31,2024,3,8,August,35,31,Saturday,True,Summer,
2024-09-01,2024,3,9,September,35,1,Sunday,True,Fall,
2024-09-02,2024,3,9,September,36,2,Monday,False,Fall,
2024-09-03,2024,3,9,September,36,3,Tuesday,False,Fall,
2024-09-04,2024,3,9,September,36,4,Wednesday,False,Fall,
2024-09-05,2024,3,9,September,36,5,Thursday,False,Fall,
2024-09-06,2024,3,9,September,36,6,Friday,False,Fall,
2024-09-07,2024,3,9,September,36,7,Saturday,True,Fall,
2024-09-08,2024,3,9,September,36,8,Sunday,True,Fall,
2024-09-09,2024,3,9,September,37,9,Monday,False,Fall,
2024-09-10,2024,3,9,September,37,10,Tuesday,False,Fall,
2024-09-11,2024,3,9,September,37,11,Wednesday,False,Fall,
2024-09-12,2024,3,9,September,37,12,Thursday,False,Fall,
2024-09-13,2024,3,9,September,37,13,Friday,False,Fall,
2024-09-14,2024,3,9,September,37,14,Saturday,True,Fall,
2024-09-15,2024,3,9,September,37,15,Sunday,True,Fall,
2024-09-16,2024,3,9,September,38,16,Monday,False,Fall,
2024-09-17,2024,3,9,September,38,17,Tuesday,False,Fall,
2024-09-18,2024,3,9,September,38,18,Wednesday,False,Fall,
2024-09-19,2024,3,9,September,38,19,Thursday,False,Fall,
2024-09-20,2024,3,9,September,38,20,Friday,False,Fall,
2024-09-21,2024,3,9,September,38,21,Saturday,True,Fall,
2024-09-22,2024,3,9,September,38,22,Sunday,True,Fall,
2024-09-23,2024,3,9,September,39,23,Monday,False,Fall,
2024-09-24,2024,3,9,September,39,24,Tuesday,False,Fall,
2024-09-25,2024,3,9,September,39,25,Wednesday,False,Fall,
2024-09-26,2024,3,9,September,39,26,Thursday,False,Fall,
2024-09-27,2024,3,9,September,39,27,Friday,False,Fall,
2024-09-28,2024,3,9,September,39,28,Saturday,True,Fall,
2024-09-29,2024,3,9,September,39,29,Sunday,True,Fall,
2024-09-30,2024,3,9,September,40,30,Monday,False,Fall,
2024-10-01,2024,4,10,October,40,1,Tuesday,False,Fall,
2024-10-02,2024,4,10,October,40,2,Wednesday,False,Fall,
2024-10-03,2024,4,10,October,40,3,Thursday,False,Fall,
2024-10-04,2024,4,10,October,40,4,Friday,False,Fall,
2024-10-05,2024,4,10,October,40,5,Saturday,True,Fall,
2024-10-06,2024,4,10,October,40,6,Sunday,True,Fall,
2024-10-07,2024,4,10,October,41,7,Monday,False,Fall,
2024-10-08,2024,4,10,October,41,8,Tuesday,False,Fall,
2024-10-09,2024,4,10,October,41,9,Wednesday,False,Fall,
2024-10-10,2024,4,10,October,41,10,Thursday,False,Fall,
2024-10-11,2024,4,10,October,41,11,Friday,False,Fall,
2024-10-12,2024,4,10,October,41,12,Saturday,True,Fall,
2024-10-13,2024,4,10,October,41,13,Sunday,True,Fall,
2024-10-14,2024,4,10,October,42,14,Monday,False,Fall,
2024-10-15,2024,4,10,October,42,15,Tuesday,False,Fall,
2024-10-16,2024,4,10,October,42,16,Wednesday,False,Fall,
2024-10-17,2024,4,10,October,42,17,Thursday,False,Fall,
2024-10-18,2024,4,10,October,42,18,Friday,False,Fall,
2024-10-19,2024,4,10,October,42,19,Saturday,True,Fall,
2024-10-20,2024,4,10,October,42,20,Sunday,True,Fall,
2024-10-21,2024,4,10,October,43,21,Monday,False,Fall,
2024-10-22,2024,4,10,October,43,22,Tuesday,False,Fall,
2024-10-23,2024,4,10,October,43,23,Wednesday,False,Fall,
2024-10-24,2024,4,10,October,43,24,Thursday,False,Fall,
2024-10-25,2024,4,10,October,43,25,Friday,False,Fall,
2024-10-26,2024,4,10,October,43,26,Saturday,True,Fall,
2024-10-27,2024,4,10,October,43,27,Sunday,True,Fall,
2024-10-28,2024,4,10,October,44,28,Monday,False,Fall,
2024-10-29,2024,4,10,October,44,29,Tuesday,False,Fall,
2024-10-30,2024,4,10,October,44,30,Wednesday,False,Fall,
2024-10-31,2024,4,10,October,44,31,Thursday,False,Fall,Halloween
2024-11-01,2024,4,11,November,44,1,Friday,False,Fall,
2024-11-02,2024,4,11,November,44,2,Saturday,True,Fall,
2024-11-03,2024,4,11,November,44,3,Sunday,True,Fall,
2024-11-04,2024,4,11,November,45,4,Monday,False,Fall,
2024-11-05,2024,4,11,November,45,5,Tuesday,False,Fall,
2024-11-06,2024,4,11,November,45,6,Wednesday,False,Fall,
2024-11-07,2024,4,11,November,45,7,Thursday,False,Fall,
2024-11-08,2024,4,11,November,45,8,Friday,False,Fall,
2024-11-09,2024,4,11,November,45,9,Saturday,True,Fall,
2024-11-10,2024,4,11,November,45,10,Sunday,True,Fall,
2024-11-11,2024,4,11,November,46,11,Monday,False,Fall,Veterans Day
2024-11-12,2024,4,11,November,46,12,Tuesday,False,Fall,
2024-11-13,2024,4,11,November,46,13,Wednesday,False,Fall,
2024-11-14,2024,4,11,November,46,14,Thursday,False,Fall,
2024-11-15,2024,4,11,November,46,15,Friday,False,Fall,
2024-11-16,2024,4,11,November,46,16,Saturday,True,Fall,
2024-11-17,2024,4,11,November,46,17,Sunday,True,Fall,
2024-11-18,2024,4,11,November,47,18,Monday,False,Fall,
2024-11-19,2024,4,11,November,47,19,Tuesday,False,Fall,
2024-11-20,2024,4,11,November,47,20,Wednesday,False,Fall,
2024-11-21,2024,4,11,November,47,21,Thursday,False,Fall,
2024-11-22,2024,4,11,November,47,22,Friday,False,Fall,
2024-11-23,2024,4,11,November,47,23,Saturday,True,Fall,
2024-11-24,2024,4,11,November,47,24,Sunday,True,Fall,
2024-11-25,2024,4,11,November,48,25,Monday,False,Fall,
2024-11-26,2024,4,11,November,48,26,Tuesday,False,Fall,
2024-11-27,2024,4,11,November,48,27,Wednesday,False,Fall,
2024-11-28,2024,4,11,November,48,28,Thursday,False,Fall,Thanksgiving
2024-11-29,2024,4,11,November,48,29,Friday,False,Fall,Black Friday
2024-11-30,2024,4,11,November,48,30,Saturday,True,Fall,
2024-12-01,2024,4,12,December,48,1,Sunday,True,Winter,
2024-12-02,2024,4,12,December,49,2,Monday,False,Winter,
2024-12-03,2024,4,12,December,49,3,Tuesday,False,Winter,
2024-12-04,2024,4,12,December,49,4,Wednesday,False,Winter,
2024-12-05,2024,4,12,December,49,5,Thursday,False,Winter,
2024-12-06,2024,4,12,December,49,6,Friday,False,Winter,
2024-12-07,2024,4,12,December,49,7,Saturday,True,Winter,
2024-12-08,2024,4,12,December,49,8,Sunday,True,Winter,
2024-12-09,2024,4,12,December,50,9,Monday,False,Winter,
2024-12-10,2024,4,12,December,50,10,Tuesday,False,Winter,
2024-12-11,2024,4,12,December,50,11,Wednesday,False,Winter,
2024-12-12,2024,4,12,December,50,12,Thursday,False,Winter,
2024-12-13,2024,4,12,December,50,13,Friday,False,Winter,
2024-12-14,2024,4,12,December,50,14,Saturday,True,Winter,
2024-12-15,2024,4,12,December,50,15,Sunday,True,Winter,
2024-12-16,2024,4,12,December,51,16,Monday,False,Winter,
2024-12-17,2024,4,12,December,51,17,Tuesday,False,Winter,
2024-12-18,2024,4,12,December,51,18,Wednesday,False,Winter,
2024-12-19,2024,4,12,December,51,19,Thursday,False,Winter,
2024-12-20,2024,4,12,December,51,20,Friday,False,Winter,
2024-12-21,2024,4,12,December,51,21,Saturday,True,Winter,
2024-12-22,2024,4,12,December,51,22,Sunday,True,Winter,
2024-12-23,2024,4,12,December,52,23,Monday,False,Winter,
2024-12-24,2024,4,12,December,52,24,Tuesday,False,Winter,Christmas Eve
2024-12-25,2024,4,12,December,52,25,Wednesday,False,Winter,Christmas Day
2024-12-26,2024,4,12,December,52,26,Thursday,False,Winter,
2024-12-27,2024,4,12,December,52,27,Friday,False,Winter,
2024-12-28,2024,4,12,December,52,28,Saturday,True,Winter,
2024-12-29,2024,4,12,December,52,29,Sunday,True,Winter,
2024-12-30,2024,4,12,December,1,30,Monday,False,Winter,
2024-12-31,2024,4,12,December,1,31,Tuesday,False,Winter,New Year's Eve
2025-01-01,2025,1,1,January,1,1,Wednesday,False,Winter,New Year's Day
2025-01-02,2025,1,1,January,1,2,Thursday,False,Winter,
2025-01-03,2025,1,1,January,1,3,Friday,False,Winter,
2025-01-04,2025,1,1,January,1,4,Saturday,True,Winter,
2025-01-05,2025,1,1,January,1,5,Sunday,True,Winter,
2025-01-06,2025,1,1,January,2,6,Monday,False,Winter,
2025-01-07,2025,1,1,January,2,7,Tuesday,False,Winter,
2025-01-08,2025,1,1,January,2,8,Wednesday,False,Winter,
2025-01-09,2025,1,1,January,2,9,Thursday,False,Winter,
2025-01-10,2025,1,1,January,2,10,Friday,False,Winter,
2025-01-11,2025,1,1,January,2,11,Saturday,True,Winter,
2025-01-12,2025,1,1,January,2,12,Sunday,True,Winter,
2025-01-13,2025,1,1,January,3,13,Monday,False,Winter,
2025-01-14,2025,1,1,January,3,14,Tuesday,False,Winter,
2025-01-15,2025,1,1,January,3,15,Wednesday,False,Winter,
2025-01-16,2025,1,1,January,3,16,Thursday,False,Winter,
2025-01-17,2025,1,1,January,3,17,Friday,False,Winter,
2025-01-18,2025,1,1,January,3,18,Saturday,True,Winter,
2025-01-19,2025,1,1,January,3,19,Sunday,True,Winter,
2025-01-20,2025,1,1,January,4,20,Monday,False,Winter,
2025-01-21,2025,1,1,January,4,21,Tuesday,False,Winter,
2025-01-22,2025,1,1,January,4,22,Wednesday,False,Winter,
2025-01-23,2025,1,1,January,4,23,Thursday,False,Winter,
2025-01-24,2025,1,1,January,4,24,Friday,False,Winter,
2025-01-25,2025,1,1,January,4,25,Saturday,True,Winter,
2025-01-26,2025,1,1,January,4,26,Sunday,True,Winter,
2025-01-27,2025,1,1,January,5,27,Monday,False,Winter,
2025-01-28,2025,1,1,January,5,28,Tuesday,False,Winter,
2025-01-29,2025,1,1,January,5,29,Wednesday,False,Winter,
2025-01-30,2025,1,1,January,5,30,Thursday,False,Winter,
2025-01-31,2025,1,1,January,5,31,Friday,False,Winter,
2025-02-01,2025,1,2,February,5,1,Saturday,True,Winter,
2025-02-02,2025,1,2,February,5,2,Sunday,True,Winter,
2025-02-03,2025,1,2,February,6,3,Monday,False,Winter,
2025-02-04,2025,1,2,February,6,4,Tuesday,False,Winter,
2025-02-05,2025,1,2,February,6,5,Wednesday,False,Winter,
2025-02-06,2025,1,2,February,6,6,Thursday,False,Winter,
2025-02-07,2025,1,2,February,6,7,Friday,False,Winter,
2025-02-08,2025,1,2,February,6,8,Saturday,True,Winter,
2025-02-09,2025,1,2,February,6,9,Sunday,True,Winter,
2025-02-10,2025,1,2,February,7,10,Monday,False,Winter,
2025-02-11,2025,1,2,February,7,11,Tuesday,False,Winter,
2025-02-12,2025,1,2,February,7,12,Wednesday,False,Winter,
2025-02-13,2025,1,2,February,7,13,Thursday,False,Winter,
2025-02-14,2025,1,2,February,7,14,Friday,False,Winter,Valentine's Day
2025-02-15,2025,1,2,February,7,15,Saturday,True,Winter,
2025-02-16,2025,1,2,February,7,16,Sunday,True,Winter,
2025-02-17,2025,1,2,February,8,17,Monday,False,Winter,
2025-02-18,2025,1,2,February,8,18,Tuesday,False,Winter,
2025-02-19,2025,1,2,February,8,19,Wednesday,False,Winter,
2025-02-20,2025,1,2,February,8,20,Thursday,False,Winter,
2025-02-21,2025,1,2,February,8,21,Friday,False,Winter,
2025-02-22,2025,1,2,February,8,22,Saturday,True,Winter,
2025-02-23,2025,1,2,February,8,23,Sunday,True,Winter,
2025-02-24,2025,1,2,February,9,24,Monday,False,Winter,
2025-02-25,2025,1,2,February,9,25,Tuesday,False,Winter,
2025-02-26,2025,1,2,February,9,26,Wednesday,False,Winter,
2025-02-27,2025,1,2,February,9,27,Thursday,False,Winter,
2025-02-28,2025,1,2,February,9,28,Friday,False,Winter,
2025-03-01,2025,1,3,March,9,1,Saturday,True,Spring,
2025-03-02,2025,1,3,March,9,2,Sunday,True,Spring,
2025-03-03,2025,1,3,March,10,3,Monday,False,Spring,
2025-03-04,2025,1,3,March,10,4,Tuesday,False,Spring,
2025-03-05,2025,1,3,March,10,5,Wednesday,False,Spring,
2025-03-06,2025,1,3,March,10,6,Thursday,False,Spring,
2025-03-07,2025,1,3,March,10,7,Friday,False,Spring,
2025-03-08,2025,1,3,March,10,8,Saturday,True,Spring,
2025-03-09,2025,1,3,March,10,9,Sunday,True,Spring,
2025-03-10,2025,1,3,March,11,10,Monday,False,Spring,
2025-03-11,2025,1,3,March,11,11,Tuesday,False,Spring,
2025-03-12,2025,1,3,March,11,12,Wednesday,False,Spring,
2025-03-13,2025,1,3,March,11,13,Thursday,False,Spring,
2025-03-14,2025,1,3,March,11,14,Friday,False,Spring,
2025-03-15,2025,1,3,March,11,15,Saturday,True,Spring,
2025-03-16,2025,1,3,March,11,16,Sunday,True,Spring,
2025-03-17,2025,1,3,March,12,17,Monday,False,Spring,
2025-03-18,2025,1,3,March,12,18,Tuesday,False,Spring,
2025-03-19,2025,1,3,March,12,19,Wednesday,False,Spring,
2025-03-20,2025,1,3,March,12,20,Thursday,False,Spring,
2025-03-21,2025,1,3,March,12,21,Friday,False,Spring,
2025-03-22,2025,1,3,March,12,22,Saturday,True,Spring,
2025-03-23,2025,1,3,March,12,23,Sunday,True,Spring,
2025-03-24,2025,1,3,March,13,24,Monday,False,Spring,
2025-03-25,2025,1,3,March,13,25,Tuesday,False,Spring,
2025-03-26,2025,1,3,March,13,26,Wednesday,False,Spring,
2025-03-27,2025,1,3,March,13,27,Thursday,False,Spring,
2025-03-28,2025,1,3,March,13,28,Friday,False,Spring,
2025-03-29,2025,1,3,March,13,29,Saturday,True,Spring,
2025-03-30,2025,1,3,March,13,30,Sunday,True,Spring,
2025-03-31,2025,1,3,March,14,31,Monday,False,Spring,
2025-04-01,2025,2,4,April,14,1,Tuesday,False,Spring,
2025-04-02,2025,2,4,April,14,2,Wednesday,False,Spring,
2025-04-03,2025,2,4,April,14,3,Thursday,False,Spring,
2025-04-04,2025,2,4,April,14,4,Friday,False,Spring,
2025-04-05,2025,2,4,April,14,5,Saturday,True,Spring,
2025-04-06,2025,2,4,April,14,6,Sunday,True,Spring,
2025-04-07,2025,2,4,April,15,7,Monday,False,Spring,
2025-04-08,2025,2,4,April,15,8,Tuesday,False,Spring,
2025-04-09,2025,2,4,April,15,9,Wednesday,False,Spring,
2025-04-10,2025,2,4,April,15,10,Thursday,False,Spring,
2025-04-11,2025,2,4,April,15,11,Friday,False,Spring,
2025-04-12,2025,2,4,April,15,12,Saturday,True,Spring,
2025-04-13,2025,2,4,April,15,13,Sunday,True,Spring,
2025-04-14,2025,2,4,April,16,14,Monday,False,Spring,
2025-04-15,2025,2,4,April,16,15,Tuesday,False,Spring,
2025-04-16,2025,2,4,April,16,16,Wednesday,False,Spring,
2025-04-17,2025,2,4,April,16,17,Thursday,False,Spring,
2025-04-18,2025,2,4,April,16,18,Friday,False,Spring,
2025-04-19,2025,2,4,April,16,19,Saturday,True,Spring,
2025-04-20,2025,2,4,April,16,20,Sunday,True,Spring,
2025-04-21,2025,2,4,April,17,21,Monday,False,Spring,
2025-04-22,2025,2,4,April,17,22,Tuesday,False,Spring,
2025-04-23,2025,2,4,April,17,23,Wednesday,False,Spring,
2025-04-24,2025,2,4,April,17,24,Thursday,False,Spring,
2025-04-25,2025,2,4,April,17,25,Friday,False,Spring,
2025-04-26,2025,2,4,April,17,26,Saturday,True,Spring,
2025-04-27,2025,2,4,April,17,27,Sunday,True,Spring,
2025-04-28,2025,2,4,April,18,28,Monday,False,Spring,
2025-04-29,2025,2,4,April,18,29,Tuesday,False,Spring,
2025-04-30,2025,2,4,April,18,30,Wednesday,False,Spring,
2025-05-01,2025,2,5,May,18,1,Thursday,False,Spring,
2025-05-02,2025,2,5,May,18,2,Friday,False,Spring,
2025-05-03,2025,2,5,May,18,3,Saturday,True,Spring,
2025-05-04,2025,2,5,May,18,4,Sunday,True,Spring,
2025-05-05,2025,2,5,May,19,5,Monday,False,Spring,
2025-05-06,2025,2,5,May,19,6,Tuesday,False,Spring,
2025-05-07,2025,2,5,May,19,7,Wednesday,False,Spring,
2025-05-08,2025,2,5,May,19,8,Thursday,False,Spring,
2025-05-09,2025,2,5,May,19,9,Friday,False,Spring,
2025-05-10,2025,2,5,May,19,10,Saturday,True,Spring,
2025-05-11,2025,2,5,May,19,11,Sunday,True,Spring,
2025-05-12,2025,2,5,May,20,12,Monday,False,Spring,
2025-05-13,2025,2,5,May,20,13,Tuesday,False,Spring,
2025-05-14,2025,2,5,May,20,14,Wednesday,False,Spring,
2025-05-15,2025,2,5,May,20,15,Thursday,False,Spring,
2025-05-16,2025,2,5,May,20,16,Friday,False,Spring,
2025-05-17,2025,2,5,May,20,17,Saturday,True,Spring,
2025-05-18,2025,2,5,May,20,18,Sunday,True,Spring,
2025-05-19,2025,2,5,May,21,19,Monday,False,Spring,
2025-05-20,2025,2,5,May,21,20,Tuesday,False,Spring,
2025-05-21,2025,2,5,May,21,21,Wednesday,False,Spring,
2025-05-22,2025,2,5,May,21,22,Thursday,False,Spring,
2025-05-23,2025,2,5,May,21,23,Friday,False,Spring,
2025-05-24,2025,2,5,May,21,24,Saturday,True,Spring,
2025-05-25,2025,2,5,May,21,25,Sunday,True,Spring,
2025-05-26,2025,2,5,May,22,26,Monday,False,Spring,
2025-05-27,2025,2,5,May,22,27,Tuesday,False,Spring,
2025-05-28,2025,2,5,May,22,28,Wednesday,False,Spring,
2025-05-29,2025,2,5,May,22,29,Thursday,False,Spring,
2025-05-30,2025,2,5,May,22,30,Friday,False,Spring,
2025-05-31,2025,2,5,May,22,31,Saturday,True,Spring,
2025-06-01,2025,2,6,June,22,1,Sunday,True,Summer,
2025-06-02,2025,2,6,June,23,2,Monday,False,Summer,
2025-06-03,2025,2,6,June,23,3,Tuesday,False,Summer,
2025-06-04,2025,2,6,June,23,4,Wednesday,False,Summer,
2025-06-05,2025,2,6,June,23,5,Thursday,False,Summer,
2025-06-06,2025,2,6,June,23,6,Friday,False,Summer,
2025-06-07,2025,2,6,June,23,7,Saturday,True,Summer,
2025-06-08,2025,2,6,June,23,8,Sunday,True,Summer,
2025-06-09,2025,2,6,June,24,9,Monday,False,Summer,
2025-06-10,2025,2,6,June,24,10,Tuesday,False,Summer,
2025-06-11,2025,2,6,June,24,11,Wednesday,False,Summer,
2025-06-12,2025,2,6,June,24,12,Thursday,False,Summer,
2025-06-13,2025,2,6,June,24,13,Friday,False,Summer,
2025-06-14,2025,2,6,June,24,14,Saturday,True,Summer,
2025-06-15,2025,2,6,June,24,15,Sunday,True,Summer,
2025-06-16,2025,2,6,June,25,16,Monday,False,Summer,
2025-06-17,2025,2,6,June,25,17,Tuesday,False,Summer,
2025-06-18,2025,2,6,June,25,18,Wednesday,False,Summer,
2025-06-19,2025,2,6,June,25,19,Thursday,False,Summer,
2025-06-20,2025,2,6,June,25,20,Friday,False,Summer,
2025-06-21,2025,2,6,June,25,21,Saturday,True,Summer,
2025-06-22,2025,2,6,June,25,22,Sunday,True,Summer,
2025-06-23,2025,2,6,June,26,23,Monday,False,Summer,
2025-06-24,2025,2,6,June,26,24,Tuesday,False,Summer,
2025-06-25,2025,2,6,June,26,25,Wednesday,False,Summer,
2025-06-26,2025,2,6,June,26,26,Thursday,False,Summer,
2025-06-27,2025,2,6,June,26,27,Friday,False,Summer,
2025-06-28,2025,2,6,June,26,28,Saturday,True,Summer,
2025-06-29,2025,2,6,June,26,29,Sunday,True,Summer,
2025-06-30,2025,2,6,June,27,30,Monday,False,Summer,
2025-07-01,2025,3,7,July,27,1,Tuesday,False,Summer,
2025-07-02,2025,3,7,July,27,2,Wednesday,False,Summer,
2025-07-03,2025,3,7,July,27,3,Thursday,False,Summer,
2025-07-04,2025,3,7,July,27,4,Friday,False,Summer,Independence Day
2025-07-05,2025,3,7,July,27,5,Saturday,True,Summer,
2025-07-06,2025,3,7,July,27,6,Sunday,True,Summer,
2025-07-07,2025,3,7,July,28,7,Monday,False,Summer,
2025-07-08,2025,3,7,July,28,8,Tuesday,False,Summer,
2025-07-09,2025,3,7,July,28,9,Wednesday,False,Summer,
2025-07-10,2025,3,7,July,28,10,Thursday,False,Summer,
2025-07-11,2025,3,7,July,28,11,Friday,False,Summer,
2025-07-12,2025,3,7,July,28,12,Saturday,True,Summer,
2025-07-13,2025,3,7,July,28,13,Sunday,True,Summer,
2025-07-14,2025,3,7,July,29,14,Monday,False,Summer,
2025-07-15,2025,3,7,July,29,15,Tuesday,False,Summer,
2025-07-16,2025,3,7,July,29,16,Wednesday,False,Summer,
2025-07-17,2025,3,7,July,29,17,Thursday,False,Summer,
2025-07-18,2025,3,7,July,29,18,Friday,False,Summer,
2025-07-19,2025,3,7,July,29,19,Saturday,True,Summer,
2025-07-20,2025,3,7,July,29,20,Sunday,True,Summer,
2025-07-21,2025,3,7,July,30,21,Monday,False,Summer,
2025-07-22,2025,3,7,July,30,22,Tuesday,False,Summer,
